ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap,current_ratio,working_capital,working_capital_to_assets,ocf_to_current_liabilities,cash_ratio,ocf_to_total_debt,roa,roe,operating_margin,ebit_to_assets,debt_ratio,equity_multiplier,ebit_to_interest,icr,company_size,revenue_growth,assets_growth,altman_x1,altman_x2,altman_x3,altman_x4,altman_z_score,springate_s_score,springate_distressed,zmijewski_x_score,zmijewski_distressed,distress_label,distress_label_next_year
A32,2022,547452252000,415662689000,332052518000,332052518000,215399735000,22366733000,719280459000,36666733000,43439224000,0,0,430799470000,1.2517980333460383,83610171000,0.1527259604733528,0.0,1.2517980333460383,0.0,0.066977042958625,0.1702264536212173,0.0603926096649318,0.0793479684142389,0.6065415144186858,2.541564185304128,9999.0,9999.0,27.028541083875066,0.0,0.0,0.1527259604733528,0.0408560434600239,0.0793479684142389,1.297383536179057,3.0305440631165688,1.0127949668156937,0,-1.1491172532606873,0,0,0
A32,2023,505434223000,377351745000,283410088000,279600987000,222024135000,25329186000,719516621000,39629186000,47311398000,0,0,444048270000,1.3496080577140452,97750758000,0.1933995632899595,0.0,1.3496080577140452,0.0,0.0784062182508761,0.1784904420413573,0.0657544198690581,0.0936054502189892,0.5607259562239812,2.276483243589712,9999.0,9999.0,26.94868374428941,0.0003283308993662,-0.0767519520588253,0.1933995632899595,0.0501137138076224,0.0936054502189892,1.5668047426738034,3.706245447474085,1.1676736907638607,0,-1.462088463883105,0,0,0
A32,2024,495920079000,365283526000,274777285000,269971184000,221142794000,24469120000,727056757000,39269120000,42684000000,0,0,442285588000,1.353046353273022,95312342000,0.192192948089928,0.0,1.353046353273022,0.0,0.0791843719640962,0.1775735907542164,0.0587079338566686,0.0860703202138342,0.5540757404985007,2.242533297286639,9999.0,9999.0,26.92968061963995,0.0104794465894624,-0.0188237035939689,0.192192948089928,0.0493408535692703,0.0860703202138342,1.6096148122287477,3.690125026782901,1.1529750096152145,0,-1.5035101384100704,0,0,0
AAA,2022,10795832682000,5658759200000,4624647264000,3206482597000,6171185417000,721688031000,15290297073000,117291268000,187294170000,173679773000,97095210000,12342370834000,1.7647871238391757,2452276603000,0.2271502972706038,0.0302809097079905,1.7647871238391757,0.0209951601619059,0.010864494796734,0.0190062783848453,0.0122492172065596,0.0173487470134913,0.4283733733397629,1.749393666289836,1.078387924885185,1.078387924885185,30.010181312816748,0.0,0.0,0.2271502972706038,0.0668487602816666,0.0173487470134913,2.6688242647342366,4.626881966515004,0.8565536522424703,1,-1.91422114704401,0,0,0
AAA,2023,11583445506000,5681580248000,5619574566000,3737041187000,5963870940000,562622506000,12621514145000,309193823000,368683502000,190476046000,2615215819000,11927741880000,1.5203418864540337,1944539061000,0.167872250099745,0.699809204163315,1.5203418864540337,0.4653761220329361,0.0266927334220067,0.0518444859237681,0.0292107189172745,0.0318284833134518,0.4851384299334053,1.9422696471027248,1.935589853644904,1.935589853644904,30.08059808319557,-0.1745409468016553,0.0729552640541748,0.167872250099745,0.0485712567740377,0.0318284833134518,2.122534675874964,3.7021330752728,0.7379417627498548,1,-1.660909617324436,0,0,0
AAA,2024,13768215584000,6426369245000,7531941631000,4132594319000,6236273953000,539311729000,12782230561000,319781841000,513663158000,159525374000,958913854000,12472547906000,1.5550447851738431,2293774926000,0.1665992889206055,0.2320367739923808,1.5550447851738431,0.1273129693482086,0.0232260919397294,0.0512777089990036,0.0401857215412185,0.037307896209653,0.5470528540933689,2.2077631110764,3.2199464268298783,3.2199464268298783,30.25338383305337,0.0127335289691583,0.1886114176363442,0.1665992889206055,0.0391707789371581,0.037307896209653,1.6559538717965403,3.2100487025695443,0.7140451762963613,1,-1.2925363245372747,0,0,0
AAH,2022,1297533453000,498312200000,129949746000,128102117000,1167583707000,-11416293000,591878635000,101864568000,115694521000,3507941000,57227844000,2335167414000,3.88996069440445,370210083000,0.2853183339081123,0.4467361300516212,3.88996069440445,0.4403844236832906,0.0785063134707479,0.0872439101276359,0.1954700071240111,0.089164961976514,0.10015136465233,1.1112980124858831,32.98074882103205,32.98074882103205,27.89148623431305,0.0,0.0,0.2853183339081123,-0.0087984575454333,0.089164961976514,17.96977282279567,21.31045530725673,1.3280779450512203,0,-4.0979754748777015,0,0,0
AAH,2023,1324072231000,419026227000,144846631000,143471508000,1179225600000,225600000,232366388000,11641893000,16846301000,2460599000,149110624000,2358451200000,2.9206232850079195,275554719000,0.208111545993143,1.0393047795942871,2.9206232850079195,1.0294379853405082,0.0087924908682719,0.0098724900477058,0.0724988719108548,0.0127230981857212,0.1093948106521388,1.1228319933013666,6.846422761286988,6.846422761286988,27.91173312709124,-0.6074087249322659,0.0204532514661879,0.208111545993143,0.0001703834539522,0.0127230981857212,16.282402867899634,18.547789422877567,0.3897896437156893,1,-3.727698281330064,0,0,0
AAH,2024,1455150772000,418393476000,263980669000,263030388000,1191170103000,12170103000,1172121547000,11944503000,40498477000,2731259000,91852989000,2382340206000,1.590665927162758,155363088000,0.1067676910114713,0.3492105596559436,1.590665927162758,0.3479534670017826,0.0082084298272289,0.0100275376035021,0.0345514312092071,0.0278311208565266,0.1814112146174225,1.2216145858052987,14.827768805521556,14.827768805521556,28.00613063455117,4.04428182186143,0.098996518415769,0.1067676910114713,0.008363465308322,0.0278311208565266,9.024676750099456,10.39059666970067,0.6123777024333781,1,-3.309256674611873,0,0,0
AAM,2022,218579542000,180897439000,9043272000,7937232000,209536271000,13435155000,212007838000,16899756000,11999332000,0,-3970805000,419072542000,22.7909980456663,172960207000,0.7912918355369232,-0.5002757888392326,22.7909980456663,-0.4390894136547037,0.0773162750976941,0.080653129500429,0.056598530097741,0.054896866789116,0.0413729112855401,1.0431584992748104,9999.0,9999.0,26.11041582185008,0.0,0.0,0.7912918355369232,0.0614657477871373,0.054896866789116,46.340809167301394,54.41800934939761,2.369311190473544,0,-4.5032616357947095,0,0,0
