ticker,company_name,year,exchange,industry,altman_z_score,springate_s_score,zmijewski_x_score,ml_distress_probability,health_status
A32,CTCP 32,2025,UPCOM,Khác,4.428114259607614,1.425477907582322,-1.749970417874882,0.009251972,✅ GREEN (SAFE)
AAA,CTCP Nhựa An Phát Xanh,2025,HOSE,SX Nhựa - Hóa chất,2.9415344958546026,0.650822230489694,-1.441424910272704,0.10544474,✅ GREEN (SAFE)
AAH,CTCP Hợp Nhất,2025,UPCOM,Khác,10.419954258231462,0.3895996326512827,-3.282406152817438,0.5497078,💥 RED (DANGER)
AAM,CTCP Thủy sản MeKong,2025,HOSE,Chế biến Thủy sản,146.2635480886733,6.006604632379341,-4.623150072759057,0.030150836,✅ GREEN (SAFE)
AAN,CTCP Lương thực A An,2025,HOSE,Nông - Lâm - Ngư,6.13114542599231,1.3718519340188586,-2.0408652618883427,0.70136136,💥 RED (DANGER)
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,2025,HOSE,SX Hàng gia dụng,3.0395366645009902,0.4196521927154474,-1.5839827643150317,0.83864677,💥 RED (DANGER)
AAV,CTCP AAV Group,2025,UPCOM,Khác,1.903520096610616,0.1204012179767101,-1.5165814852424038,0.5672916,💥 RED (DANGER)
ABC,CTCP Truyền thông VMG,2025,UPCOM,Khác,12.184881835506468,2.060755147229152,-3.4736302017336227,0.14361171,✅ GREEN (SAFE)
ABR,CTCP Đầu tư Nhãn hiệu Việt,2025,HOSE,Công nghệ và thông tin,12.328725340965926,0.926262467464037,-3.475339913507096,0.014852977,✅ GREEN (SAFE)
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,2025,HOSE,SX Nhựa - Hóa chất,4.884268269867965,-6.20847230888591,1.4265152663210046,0.9223223,💥 RED (DANGER)
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,2025,HOSE,Chế biến Thủy sản,10.890324555728911,1.8322477344620247,-3.6402159898911615,0.009389193,✅ GREEN (SAFE)
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,2025,HOSE,Vật liệu xây dựng,4.03883217319332,0.4434853761787864,-1.4986126210418156,0.6225344,💥 RED (DANGER)
ACE,CTCP Bê tông Ly tâm An Giang,2025,UPCOM,Khác,5.139802088833417,1.7576377195427586,-1.6845592158244602,0.05297937,✅ GREEN (SAFE)
