ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap
ANV,2025,5824715467000,3476485728000,2297846759000,2230874235000,3526868707000,866292128000,6951508258000,999477865000,1149921895000,68099345000,997997131000,7053737414000
ANV,2024,4862270518000,2585543414000,2065576692000,1940622789000,2796693826000,136117247000,4911265973000,47832174000,119281689000,91346542000,728399476000,5593387652000
ANV,2023,5112670123000,2950604371000,2264803368000,2103113560000,2847866756000,1518568926000,4439122633000,39191645000,46823694000,137293023000,-81705979000,5695733512000
ANV,2022,5467653138000,3255100960000,2585450152000,2417509035000,2882202985000,1612905156000,4896647040000,673745234000,754586839000,105147391000,265607743000,5764405970000
BAF,2025,10780028795000,4341827253000,6715907355000,4331765437000,4064121441000,525179035000,5037851279000,127130390000,86675616000,257832397000,-1379717534000,8128242882000
BAF,2024,7449030045000,3081018990000,4513278391000,3064578385000,2935751654000,398258489000,5640685734000,318936314000,302353124000,200749516000,-291935815000,5871503308000
BAF,2023,6533660696000,3148011679000,4625338672000,3011074969000,1908322024000,324866541000,5198785295000,30325350000,33055338000,141443303000,-419703973000,3816644048000
BAF,2022,4729096093000,2662699738000,2986428033000,2291719028000,1742668060000,298655201000,7083418349000,287778738000,343509658000,36331152000,-269396904000,3485336120000
BCM,2025,60941012422000,31463515167000,37569337467000,21656542594000,23371674955000,9598842544000,6953015337000,3525385111000,3794603214000,1375903308000,-222925896000,46743349910000
BCM,2024,58780757768000,31703966347000,38101557433000,21929549417000,20679200335000,6810807466000,5239236561000,2395046491000,2589849897000,1294979150000,-645572001000,41358400670000
BCM,2023,53423901937000,28440868532000,33951011068000,22997575585000,19472890869000,6302930325000,7882566359000,2280087767000,2805366594000,906131859000,-3150640567000,38945781738000
BCM,2022,48289575211000,27851211213000,30344447676000,18641565806000,17945127535000,5161461758000,6506378213000,1714339267000,1773272439000,879326949000,503897262000,35890255070000
BMP,2025,3378833590000,2758363783000,501375767000,483661960000,2877457822000,855015369000,5509577971000,1228735174000,1534838894000,13860000,1218889665000,5754915644000
BMP,2024,3200494976000,2596113209000,498796286000,480999507000,2701698691000,679256238000,4615678656000,990761729000,1228940160000,20863000,900554974000,5403397382000
BMP,2023,3255000928000,2593900148000,565271946000,546150419000,2689728982000,667286529000,5156984370000,1041006333000,1304060956000,38677000,1602839086000,5379457964000
BMP,2022,3044791994000,2215147284000,423473390000,403473029000,2621318604000,598876151000,5808344375000,694268766000,868083018000,27578000,799140619000,5242637208000
BSR,2025,85143227487000,70241188970000,24630141853000,23773755620000,60513085634000,7414334911000,141582149107000,5216952296000,5974362210000,273642324000,5258073731000,121026171268000
BSR,2024,88386867729000,71515534343000,32848858697000,31984096505000,55538009032000,11826112140000,123027063880000,591091587000,708068900000,260793426000,-80470180000,111076018064000
