ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap,current_ratio,working_capital,working_capital_to_assets,ocf_to_current_liabilities,cash_ratio,ocf_to_total_debt,roa,roe,operating_margin,ebit_to_assets,debt_ratio,equity_multiplier,ebit_to_interest,icr,company_size,revenue_growth,assets_growth,altman_x1,altman_x2,altman_x3,altman_x4,altman_z_score,springate_s_score,springate_distressed,zmijewski_x_score,zmijewski_distressed
A32,2022,547452252000,415662689000,332052518000,332052518000,215399735000,22366733000,719280459000,36666733000,43439224000,0,0,430799470000,1.2517980333460383,83610171000,0.15272596047335285,0.0,1.2517980333460383,0.0,0.066977042958625,0.17022645362121733,0.060392609664931825,0.07934796841423898,0.6065415144186858,2.5415641853041278,9999.0,9999.0,27.028541083875066,0.0,0.0,0.15272596047335285,0.04085604346002398,0.07934796841423898,1.297383536179057,3.0305440631165688,1.0127949668156935,0,-1.1491172532606873,0
A32,2023,505434223000,377351745000,283410088000,279600987000,222024135000,25329186000,719516621000,39629186000,47311398000,0,0,444048270000,1.3496080577140452,97750758000,0.1933995632899595,0.0,1.3496080577140452,0.0,0.07840621825087614,0.17849044204135736,0.06575441986905818,0.09360545021898922,0.5607259562239812,2.2764832435897113,9999.0,9999.0,26.94868374428941,0.00032833089936623594,-0.07675195205882535,0.1933995632899595,0.050113713807622404,0.09360545021898922,1.5668047426738034,3.7062454474740845,1.1676736907638607,0,-1.462088463883105,0
A32,2024,495920079000,365283526000,274777285000,269971184000,221142794000,24469120000,727056757000,39269120000,42684000000,0,0,442285588000,1.353046353273022,95312342000,0.192192948089928,0.0,1.353046353273022,0.0,0.07918437196409625,0.17757359075421647,0.058707933856668636,0.08607032021383429,0.5540757404985007,2.242533297286639,9999.0,9999.0,26.92968061963995,0.010479446589462427,-0.0188237035939689,0.192192948089928,0.049340853569270385,0.08607032021383429,1.6096148122287475,3.6901250267829004,1.1529750096152145,0,-1.5035101384100704,0
A32,2025,491118230000,365335640000,260369304000,255076704000,230748926000,34072308000,777808047000,50872308000,63442593000,0,0,461497852000,1.432257961119021,110258936000,0.2245058913817962,0.0,1.432257961119021,0.0,0.10358464600265399,0.2204660662212573,0.0815658737971375,0.12917987792878305,0.5301560563125503,2.128366265938763,9999.0,9999.0,26.91995073005199,0.06980375261129712,-0.009682707362207887,0.2245058913817962,0.06937699706239779,0.12917987792878305,1.7724741162268498,4.428114259607614,1.425477907582322,0,-1.749970417874882,0
AAA,2022,10795832682000,5658759200000,4624647264000,3206482597000,6171185417000,721688031000,15290297073000,117291268000,187294170000,173679773000,97095210000,12342370834000,1.7647871238391755,2452276603000,0.22715029727060382,0.030280909707990536,1.7647871238391755,0.020995160161905918,0.010864494796734013,0.01900627838484536,0.012249217206559634,0.01734874701349137,0.42837337333976294,1.749393666289836,1.078387924885185,1.078387924885185,30.010181312816748,0.0,0.0,0.22715029727060382,0.06684876028166661,0.01734874701349137,2.6688242647342366,4.626881966515004,0.8565536522424703,1,-1.91422114704401,0
AAA,2023,11583445506000,5681580248000,5619574566000,3737041187000,5963870940000,562622506000,12621514145000,309193823000,368683502000,190476046000,2615215819000,11927741880000,1.5203418864540335,1944539061000,0.16787225009974507,0.699809204163315,1.5203418864540335,0.4653761220329361,0.026692733422006742,0.05184448592376816,0.029210718917274565,0.031828483313451866,0.48513842993340534,1.9422696471027254,1.9355898536449039,1.9355898536449039,30.080598083195575,-0.17454094680165533,0.07295526405417485,0.16787225009974507,0.04857125677403778,0.031828483313451866,2.122534675874964,3.7021330752727994,0.7379417627498548,1,-1.660909617324436,0
AAA,2024,13768215584000,6426369245000,7531941631000,4132594319000,6236273953000,539311729000,12782230561000,319781841000,513663158000,159525374000,958913854000,12472547906000,1.5550447851738431,2293774926000,0.16659928892060555,0.23203677399238085,1.5550447851738431,0.12731296934820868,0.023226091939729465,0.05127770899900362,0.04018572154121857,0.03730789620965307,0.5470528540933689,2.2077631110764,3.2199464268298783,3.2199464268298783,30.25338383305337,0.012733528969158359,0.18861141763634426,0.16659928892060555,0.03917077893715817,0.03730789620965307,1.6559538717965405,3.2100487025695443,0.7140451762963613,1,-1.2925363245372747,0
AAA,2025,12891604734000,4532817492000,6812374374000,3279775954000,6079230360000,551744951000,10728147401000,423921412000,557083742000,133833487000,977801726000,12158460720000,1.3820509557891587,1253041538000,0.09719825916592519,0.29813064663989547,1.3820509557891587,0.1435331754126524,0.03288352542193294,0.0697327436034189,0.05192730125502123,0.04321290898182451,0.528434939991079,2.1205981630214126,4.162513840799799,4.162513840799799,30.1875974196227,-0.16069833431633096,-0.06366916937433098,0.09719825916592519,0.04279877970078011,0.04321290898182451,1.7847610909940281,2.9415344958546026,0.650822230489694,1,-1.441424910272704,0
AAH,2022,1297533453000,498312200000,129949746000,128102117000,1167583707000,-11416293000,591878635000,101864568000,115694521000,3507941000,57227844000,2335167414000,3.8899606944044494,370210083000,0.28531833390811234,0.4467361300516212,3.8899606944044494,0.4403844236832906,0.07850631347074795,0.08724391012763592,0.19547000712401116,0.08916496197651406,0.10015136465233009,1.1112980124858833,32.98074882103205,32.98074882103205,27.891486234313046,0.0,0.0,0.28531833390811234,-0.00879845754543332,0.08916496197651406,17.96977282279567,21.31045530725673,1.3280779450512203,0,-4.0979754748777015,0
AAH,2023,1324072231000,419026227000,144846631000,143471508000,1179225600000,225600000,232366388000,11641893000,16846301000,2460599000,149110624000,2358451200000,2.9206232850079195,275554719000,0.20811154599314302,1.0393047795942871,2.9206232850079195,1.0294379853405082,0.008792490868271973,0.009872490047705884,0.07249887191085486,0.01272309818572126,0.10939481065213881,1.1228319933013666,6.846422761286988,6.846422761286988,27.91173312709124,-0.6074087249322659,0.020453251466187927,0.20811154599314302,0.00017038345395221872,0.01272309818572126,16.282402867899634,18.547789422877567,0.38978964371568936,1,-3.7276982813300643,0
AAH,2024,1455150772000,418393476000,263980669000,263030388000,1191170103000,12170103000,1172121547000,11944503000,40498477000,2731259000,91852989000,2382340206000,1.5906659271627581,155363088000,0.10676769101147135,0.3492105596559436,1.5906659271627581,0.34795346700178265,0.008208429827228927,0.010027537603502126,0.03455143120920718,0.02783112085652661,0.1814112146174225,1.2216145858052987,14.827768805521556,14.827768805521556,28.00613063455117,4.04428182186143,0.09899651841576906,0.10676769101147135,0.008363465308322016,0.02783112085652661,9.024676750099456,10.39059666970067,0.6123777024333781,1,-3.309256674611873,0
AAH,2025,1452678263000,428953692000,261234367000,260524086000,1191443896000,12443896000,844273203000,273794000,11609501000,6411350000,54866098000,2382887792000,1.6465030108578904,168429606000,0.11594419100907273,0.2105989463100928,1.6465030108578904,0.21002634006420756,0.0001884753196723506,0.00022980016173585735,0.013750881774699653,0.007991790953094203,0.17982947336219623,1.2192586389313291,1.8107732380855825,1.8107732380855825,28.004430046541277,-0.27970507396533684,-0.0016991428294415023,0.11594419100907273,0.008566174848862594,0.007991790953094203,9.121647428571295,10.419954258231462,0.3895996326512827,1,-3.2824061528174386,0
AAM,2022,218579542000,180897439000,9043272000,7937232000,209536271000,13435155000,212007838000,16899756000,11999332000,0,-3970805000,419072542000,22.7909980456663,172960207000,0.7912918355369232,-0.5002757888392326,22.7909980456663,-0.4390894136547037,0.07731627509769419,0.08065312950042906,0.05659853009774101,0.05489686678911607,0.041372911285540166,1.0431584992748104,9999.0,9999.0,26.110415821850076,0.0,0.0,0.7912918355369232,0.06146574778713737,0.05489686678911607,46.340809167301394,54.41800934939761,2.369311190473544,0,-4.5032616357947095,0
AAM,2023,212857324000,173748815000,10221545000,9148047000,202635779000,6534663000,136763342000,703151000,-4321664000,0,-24230847000,405271558000,18.99299544482008,164600768000,0.7732915405814272,-2.6487453551561333,18.99299544482008,-2.3705659956493856,0.0033033911485235057,0.0034700239191223976,-0.03159957878186393,-0.020303102185011027,0.04802064034216647,1.0504429427539546,9999.0,9999.0,26.083887937836952,-0.35491374616064897,-0.02617911057751232,0.7732915405814272,0.03069973293472392,-0.020303102185011027,39.648757404091064,46.66763206319371,0.6793713488139219,1,-4.1171195919972865,0
AAM,2024,202353239000,165582776000,6013144000,4931214000,196340095000,238979000,153483344000,-6295684000,-3709323000,0,34043716000,392680190000,33.578501358894584,160651562000,0.7939164344189222,6.903719043626985,33.578501358894584,5.661550097586221,-0.031112346069241816,-0.03206519789042579,-0.02416759306469111,-0.01833092970654154,0.029716074868463064,1.0306261642585026,9999.0,9999.0,26.033280715058883,0.12225499724918976,-0.049348008340084126,0.7939164344189222,0.0011809991338957515,-0.01833092970654154,65.30363982635373,73.65757983700809,0.5683942916372673,1,-4.124926821373751,0
AAM,2025,201059637000,170425844000,2965128000,1863199000,198094510000,1993394000,170456280000,1846752000,13001312000,0,61470611000,396189020000,91.4694801789825,168562645000,0.8383713783388558,32.991972945455636,91.4694801789825,20.73118293712784,0.009185095663929803,0.009322580418811203,0.07627358757330618,0.06466395838564057,0.01474750499027311,1.014968244198186,9999.0,9999.0,26.02686740249084,0.11058487232334469,-0.00639279117247038,0.8383713783388558,0.009914441454999742,0.06466395838564057,133.61616092121486,146.2635480886733,6.006604632379341,0,-4.623150072759057,0
AAN,2023,1109449124000,828815024000,698398061000,696398061000,411051063000,59471397000,1531714060000,30174664000,36067214000,6973127000,-107325041000,822102126000,1.1901455078864729,132416963000,0.11935379472164061,-0.15411450291214984,1.1901455078864729,-0.15367316576785284,0.027197879873218953,0.07340855362293516,0.023546962805838578,0.032509119363638345,0.629499853478635,2.6990542632412557,5.172315662686195,5.172315662686195,27.7348847233781,0.0,0.0,0.11935379472164061,0.05360443819684336,0.032509119363638345,1.177125441646952,2.412154357748621,0.8025539558711055,1,-0.8390018766328111,0
