ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap
AAA,2025,12891604734000,4532817492000,6812374374000,3279775954000,6079230360000,551744951000,10728147401000,423921412000,557083742000,133833487000,977801726000,12158460720000
AAA,2024,13768215584000,6426369245000,7531941631000,4132594319000,6236273953000,539311729000,12782230561000,319781841000,513663158000,159525374000,958913854000,12472547906000
AAA,2023,11583445506000,5681580248000,5619574566000,3737041187000,5963870940000,562622506000,12621514145000,309193823000,368683502000,190476046000,2615215819000,11927741880000
AAA,2022,10795832682000,5658759200000,4624647264000,3206482597000,6171185417000,721688031000,15290297073000,117291268000,187294170000,173679773000,97095210000,12342370834000
AAC,2018,7340126018500,2570666272150,2417274556795,1395235930684,4922851461704,1956021754251,8918897814230,705035365653,984844052126,103549845060,629634633509,17449288730206
AAC,2019,7821112909720,3422299800101,2453165478479,2136386555681,5367947431240,2153255623349,11070316117677,758401284214,1050617107869,102615502601,746524749509,20885932608038
AAC,2020,8237920210682,4779390864034,2448395722786,1485134606347,5789524487896,1849765329534,12206886282829,1264472740004,1766433236154,185842311148,1238066214543,14112295380269
AAC,2021,8583431384793,5073694027870,4441658169848,3865613196205,4141773214945,1579137022708,13198604310181,-31787457303,294597964830,334332286458,-47003022263,9369332090360
AAC,2022,9138139329573,4790208430367,3002562408161,1870695944060,6135576921411,3657575828728,10257096982972,884011154277,1195806139506,90792196660,1221665786728,19114442471930
AAC,2023,9640892535073,3899201482584,5357607426613,3216181209652,4283285108460,2252606819604,6415533974871,-325262773757,-112932539467,293645927729,-344110254392,6915993477154
AAC,2024,9939693356208,7160545745203,3359069566362,1977234359654,6580623789846,2851418818197,5130236003509,431250869279,656839937885,117776351286,486221076637,25227016487875
AAC,2025,10935829479067,7241925224280,3437255015548,2969643425767,7498574463518,3743857333368,9159203591566,677634672765,1002125257653,155081916696,963772898710,22567188251920
AAE,2018,3252356326230,1854677111540,859764867222,807298612979,2392591459008,1178771049939,3550734915390,672529885782,877343481808,36681124580,882043945461,3722544156421
AAE,2019,3467134760189,1556791893262,908236468146,550752030074,2558898292042,1377926472797,2768570562224,520490674695,687400763595,36787420226,489979557870,9099522189105
AAE,2020,3816973608931,1483958733623,983382384040,815181151388,2833591224890,1195291822091,5142738982111,970680456135,1299547136308,86196566139,1158377350691,5921908799761
AAE,2021,4193306535882,1868723217190,1329478461397,1232274060587,2863828074485,727345192587,4975825983170,787188987918,1068273065050,84286830152,1053726001458,8607313494701
AAE,2022,4553322875465,2999367101191,1303183477415,1187606391343,3250139398049,1852305607542,5759852317482,974219750264,1270270740234,52496052404,791859231467,10771309417676
AAE,2023,5032861377437,2484753689878,1498965580098,1169638387962,3533895797339,1567214415536,7349450872035,1391900208610,1839333910811,99458650048,1712493537409,4470192198739
AAE,2024,5345354307903,3983816354904,1348443972162,1052193380702,3996910335740,2021029506215,6337617771289,1149034652001,1500635264088,64341949086,1129630254780,8057639274966
AAE,2025,5288853236478,3274744155290,3433257406981,2117028241167,1855595829496,870528965177,2753243554635,42756108517,221154941117,167709805470,53910564573,4338040249577
AAG,2018,3850409230461,2762757887049,3454707840514,2713148624707,395701389947,-72313771868,4597269054410,-261878999872,-184939625887,142409123952,161678919658,160878283182
AAG,2019,3424000192419,1453340207045,3217963608750,2713680258089,206036583669,-92483102910,3816860267521,-151988630797,-81689993099,108295795397,134130917169,71378725736
AAG,2020,3412419004660,2159400588571,1898840598663,1402652465629,1513578405997,-481383706338,3994969195129,-114504568276,-59967050629,83163659717,150295252840,597205895562
AAG,2021,3062673176777,2107396073805,2680585206390,1742785004424,382087970386,-67633187503,3067853868056,-114606765191,34794287615,178052744104,163932953722,79877081801
AAG,2022,2607461490007,1693443443314,2373260890787,1309748797659,234200599219,-28343956216,2135246171784,-119290088914,-65588883446,83523727696,160170205852,91262857646
AAG,2023,2166598824422,1587512940237,1984700789259,1125463551445,181898035163,-61630084489,1894350774359,-107240732023,4982744191,139033659220,60193400058,106155411656
AAG,2024,1809222166456,1304463099745,1582654700343,1274003643672,226567466113,-45698160157,1412663817353,-81565749098,-29856194545,72100991828,30784449132,113783513351
AAG,2025,1911221906414,768432905242,1104284530112,834132141500,806937376301,-118242141089,2342751188317,97557212257,183229017128,61282501807,-144366725527,390506576107
AAI,2018,8618697841915,3856366740059,5946869984793,4238606290713,2671827857122,1035530292448,7426181220501,188167924029,643412533912,408202628875,223048996301,6828068430763
AAI,2019,9450111226554,4176584189118,4657113054910,4093161345429,4792998171644,1568787983352,5718392609402,714840001092,1193276547536,299726546171,764274126473,6241068935879
AAI,2020,10116624791016,5346992238635,5728501206316,5246973740703,4388123584699,2387954495613,11521243502525,1542055864796,2359966850159,432397019164,2190887686596,9769170718607
AAI,2021,11572381367656,5980475850115,6042310659830,3403432281771,5530070707826,1224334861755,16512538513230,2363970753799,3368049921500,413086479251,2431723383881,8093300925446
AAI,2022,12804749207979,5990466472062,6574885058198,4082053765698,6229864149781,1958343152702,14747056689724,1960426614398,2761351547077,310818279079,1680904939780,8176995872230
AAI,2023,13922822912042,7546321917553,7766983344444,4362046347509,6155839567597,2945113655370,7783141498915,967080353673,1439751998304,230901556212,1044968671080,14002418357837
AAI,2024,15280632989880,10809534074218,8334222684259,6379594872796,6946410305620,2440556103767,16873060316138,2153351691630,3220169807520,528480192982,2234452851539,11323463489010
AAI,2025,17398425969643,7632999809958,8620606188732,7785175941140,8777819780910,3888359859441,21087067494574,2848263112863,3981663060700,421334169620,3736462595936,34764165258363
AAJ,2018,8940504241076,4050981926983,4951276357536,3136707706479,3989227883539,1680641024746,13380772127754,-442236506958,-311521172603,241274461093,-647037106333,15268186241824
AAJ,2019,9269183242803,3957659033161,3461384669990,2189781132671,5807798572813,3003267070940,7101317275727,550068611377,810900739629,123314975407,603112848688,17034593795296
AAJ,2020,8564835177211,3207401991397,6261173380849,5053787425893,2303661796362,946079676733,10063950584798,-546011079396,-459033262658,223480586586,-480939725987,7026429964473
AAJ,2021,8496172990382,3790115001577,3132426640908,2824726871865,5363746349473,2688943209023,5848657889900,340318026693,675363808443,249966275076,302957698067,8015910137095
AAJ,2022,9196837517601,4770347920490,3037274537533,2249414797048,6159562980068,2444987875806,6236311439851,335701780180,580322227026,160695001801,368015375782,10854690807021
AAJ,2023,9950364655051,6252478856747,3318722304065,2984492104573,6631642350985,2524894447915,8513672753074,639034858630,970763068021,171969494733,519399321952,19053985058358
AAJ,2024,10672658544243,5112038150038,6849063483545,6268674464369,3823595060698,1707401467138,7807365723120,259861642022,722727591491,397900538963,263316147087,9353612396785
AAJ,2025,10003282447791,7048511611228,5251688591069,3623030156111,4751593856722,1352799342294,9308254710384,-240085824695,-2053077307,298054203562,-209038352608,5888360570160
ABK,2018,6797779620770,2958482237273,4042008923532,2636633276351,2755770697238,1443356830516,9270033603883,806591096123,1183511282110,175272411955,1083995819102,5910441002356
ABK,2019,7201709813025,3279944786085,3880791111369,3623503149840,3320918701656,1069291831055,7028093462168,562133661714,934349571061,231682493918,839925252950,6919090819959
ABK,2020,7754223283725,3466075604377,4386145257609,3514864742979,3368078026116,2004553837166,4535227425130,516368311605,1006805519840,361345130333,764886294808,11708707008780
ABK,2021,8188964966628,5952671670370,4415179111905,2586537685803,3773785854722,2122042626532,6240682296357,665257445748,1168805442290,337233635105,781460178551,8446544291533
ABK,2022,8690021288200,3362834028452,5007060525925,2969204368467,3682960762275,1889180068685,8039494458141,645116578843,1197638851229,391243127675,692994139306,9792803135939
ABK,2023,9197636618895,5213386555523,5183816132782,4836205620858,4013820486113,1160421981823,14319380457550,1390588283929,2030459393582,292224038670,1791737454116,9058702400346
ABK,2024,9251431028642,3493649081601,5463050174150,4045753095391,3788380854492,1733929234968,8024919707656,639138101494,1063273931292,264351304424,516536675676,14226381571391
ABK,2025,9317373179918,6936952665113,4859806974298,3929386456730,4457566205620,1329371105721,10559345701122,964719385490,1447031544227,241132312364,909822882361,8548671923913
ABL,2018,11040095244960,7505959243892,5452339980127,3572719883349,5587755264833,3070103910618,9810475443768,835073631108,1265945007602,222102968716,747197665729,17216972863630
ABL,2019,12031151375673,8572028729427,5992706681568,3913276993050,6038444694105,2081442719773,11966053032774,714108131708,1298953422604,406318257968,1017763733178,18032087329377
ABL,2020,13061741627158,6329326934890,6145209624040,4334860081867,6916532003118,1509268382569,14385531408242,1328341447137,1919573444247,259146635325,1579392087286,21293465096019
ABL,2021,13139776989579,6306035878998,9334742820803,5532708814164,3805034168775,2113677212499,9677589514669,141678353528,627872083087,450774141177,152891999091,6777316631316
ABL,2022,14730152723475,6947314149871,7891122261245,7220032618598,6839030462229,2896211424272,22791996851172,1767483086562,2479730681027,270376822824,2391989129921,8544221448498
ABL,2023,16514041744531,11760887080493,8799914497566,6221302392628,7714127246965,1953778869616,17733729096739,1151189162169,1945144808719,506158356007,1649800573621,29422612576472
ABL,2024,17911312087278,11706088226327,9152786140107,7624908685000,8758525947170,2521438709708,22817551129726,1545375941035,2572925338293,641205411999,1357913093440,33687137231796
ABL,2025,19606715721979,8176099476970,10546794050121,6698149714358,9059921671857,4248176110343,27689489126332,2167971724436,3512980225579,803015570033,1997819653243,24054327608723
ABO,2018,7291032092026,4912313895657,6300596721719,4962119743487,990435370306,-417741277831,5003814484492,-275071205943,-127491657529,216347349900,220830115796,402001182125
ABO,2019,6620028313178,4785275369981,5631805204491,4054287390175,988223108686,-142548258591,4862136447066,-287214589042,-140191500896,218826735406,158222937290,499060399368
ABO,2020,6041303550618,3108830001329,5096146495043,3828839953556,945157055575,-305042091479,9461757830814,-456868591178,-214713397619,356372341353,571576700971,494367768131
ABO,2021,6024017097476,2401782748815,3784847243254,3167906305039,2239169854221,-311062850757,9159052686845,90987130066,403364529121,289630616538,-131271430885,755682527467
ABO,2022,5244279965001,3591800046045,4494142673661,4015360773026,750137291340,-175469005104,6306126326810,-294093015610,-100913486580,266702782932,389996390533,329217473073
ABO,2023,5588985951594,2023600535830,4347456559532,3152531790172,1241529392062,-513189211140,7838570488067,90238110148,455368717532,342571079846,-31538787782,695140697337
ABO,2024,4885999989002,3613297215886,4276879670529,3381640126724,609120318472,-80838198832,5052586799063,-293089497156,-197335598285,169026273160,289250315181,299635707198
ABO,2025,4307822753659,2619258827762,3619733274500,3397456246492,688089479158,-118558497432,4257489448966,-230314384424,-88077550171,199815430358,260072781066,251557809789
ABQ,2018,2099406180171,1201449158347,485354881204,271785260367,1614051298967,460054463257,1449941117935,257251744925,349288626293,27723945136,227208575831,3209347177871
ABQ,2019,2183720150870,1220631520026,546229162664,379760627495,1637490988206,752021447042,1814980514929,286415687002,380757203055,22737594303,275412599204,5696797407119
ABQ,2020,2310814452437,1012311144388,441079223547,289281133269,1869735228889,965640110685,1351938981879,244389276209,332542709192,27056113930,352056215826,2481767359986
ABQ,2021,2284611509215,1404831461888,1196756550531,969074731169,1087854958684,392264756307,3303569476367,-99349840314,-34853137449,89334162944,-96464901248,3062052136000
ABQ,2022,2450905441922,896471845900,568493848581,337393525680,1882411593340,724934055990,1333571356381,206508816466,273503604807,15367584224,227402336766,2979982856841
ABQ,2023,2612791793656,1325110835097,601259082402,354797824900,2011532711254,1204010636703,2484596197562,481622672066,637870681118,35842341035,459830738002,3615579420870
ABQ,2024,2752781192467,1415281639560,1983372060613,1695457638176,769409131853,455701721069,2735590276400,101355778164,195778103274,69083380569,125988117243,1324528217784
ABQ,2025,2962347771035,1547269332048,507828766954,462017571404,2454519004081,1045995974817,2941886350347,482046885409,618831568257,16272961495,663094858484,8543563944366
ABS,2018,5042012695374,2084946458375,883092177163,583910724009,4158920518210,1788511173258,3612995136359,531179112205,700909252545,36935362289,484344782742,7591169035831
ABS,2019,6000966334199,3103926439955,1306170240456,1105687394364,4694796093743,2451801556949,4515591732810,716445238496,968413602602,72857054482,837837502191,14158043273529
ABS,2020,7212514379908,3306328572019,1297148295985,866200980917,5915366083923,2593245854393,9147269910638,1285332629168,1669584215673,62918429212,1094984986798,16772410754087
ABS,2021,8129308302454,4158410631758,1485594516489,1347621808773,6643713785964,3695996821847,6596312500153,1015114836011,1394136096004,125242550990,890865907292,11651555429172
ABS,2022,9461447125781,4351395397364,1654890049907,1424135429100,7806557075873,4364176441475,13805808847560,2108988423786,2707480059173,71244529440,2653313270332,18691742907042
ABS,2023,10832192281010,8054576501129,2393872592811,1796406158077,8438319688198,3956430062585,7650283060577,1109406907762,1502434900028,115676265325,1036848531114,21089265491910
ABS,2024,13134487275474,8755344533508,2238320339816,1971913902347,10896166935657,5331367547918,10727682676095,1587857732961,2062927282994,78105116792,2358846705487,14526983751490
ABS,2025,14845393946922,8990501605679,3144926242383,2086914178749,11700467704539,4998446068370,17375550119686,2751688172717,3623493924607,183883708710,2914284228542,30019256415825
ACD,2018,6527941344515,2307152310934,1889129498750,1363015422160,4638811845764,1544552990098,5335042667623,583398936656,802592843318,73344172498,855212940653,16332822393477
ACD,2019,6885228557053,5058804471556,2409351386611,1813082478678,4475877170442,1661849481299,7480703361835,742501752524,1063997291551,135870100896,1086629580796,11226521363374
ACD,2020,7311033934904,4957017702162,2253637053485,1308551424040,5057396881419,2909085405335,6456297635722,688848424650,1001727313852,140666783039,780744209626,6490721711540
ACD,2021,8087295988039,4597622115160,2520813527713,1824672991870,5566482460326,2698845828871,10154295516310,1014070602670,1397807303734,130219050396,1439828458075,13115263014511
ACD,2022,8419796846417,5868149018861,2450216214920,2128032737022,5969580631497,1550874825904,6269818753538,615405288585,884980873820,115724263088,769309327914,14939771730365
ACD,2023,9212817898596,5072086413062,2986957399723,1983203273981,6225860498873,3211622691514,5632919216607,629642819302,907469556596,120416032468,667579970384,18631959054044
ACD,2024,9420057906575,3511912407502,3240084042712,2692344545234,6179973863862,2133322255699,14146412536437,1731601634827,2378023518266,213521474732,1597584400023,18368312709748
ACD,2025,9859604546692,5716206735273,3145172624577,2260546616744,6714431922115,3189953211008,14804029526141,1256677472597,1703248549394,132401708647,1844080487118,20042578068158
ACU,2018,6379780959592,3134240071801,5961697699170,3806805386028,418083260421,-191079610099,3781106568292,9995874261,459375564435,446880721608,-5141446472,97450215473
ACU,2019,5843384198921,3677265095509,5129710964304,3009615699435,713673234617,-239826064917,7835194021615,-20329655382,279118803429,304530872657,16968855029,495994170455
ACU,2020,5554751331983,3939884593658,5163357950426,3982075906614,391393381556,-187946425427,8524862127324,-73879911630,79172921361,171522810899,27769367583,94447419019
ACU,2021,5155878903871,1822377406312,4582550198254,4093739763544,573328705617,-159739937742,4503584709797,-143827290186,44348139803,224132252536,180946459042,325920982714
ACU,2022,5365971411427,1966255697666,3515881613428,2189647538942,1850089797999,-491524746888,5640428891540,249936718878,443122221656,130701323058,-373489860532,1098336210559
ACU,2023,4668244049343,1684662303713,4193982913585,2838353785178,474261135757,-161738146090,4471761108740,-62953671424,115479449930,194171539211,71129785033,158802005783
ACU,2024,4415904981606,2680891454634,4140255220825,2614438939244,275649760781,-48915967256,3291789519165,-36558879698,237024087050,282722686673,49828716276,58780050062
ACU,2025,4066952459692,2941970516860,3577085468573,2886706230969,489866991119,-195024240596,4376264835282,-78504980956,47567629083,145698855278,60851413215,140736906833
ACV,2018,7990465336213,4006781070175,3006295335812,2544610397424,4984170000400,1631977313025,9844733496402,542870928608,862048826990,183460166230,670539750690,9305277857851
ACV,2019,8694403921329,5496001471085,3466626393520,2224945078923,5227777527808,1816500685422,8878708355857,290464135994,503212616285,140132446292,291911397173,6671196653207
ACV,2020,9561787855090,5409577836839,3323395771543,2654471674248,6238392083547,1606780209394,8630680512569,468447870228,801143407292,215583569507,402569616024,10032548281919
ACV,2021,10902348188528,7863885769530,3887314392475,3387404990207,7015033796052,3838666666405,15625081119128,848997880777,1200057166511,138809815540,817082903388,19400888847394
ACV,2022,11710148065771,8604180676793,4537062683730,3499529058899,7173085382040,1565129818159,5932292364458,381082949949,803740989568,327387302131,536225259101,25188586063741
ACV,2023,12928188657687,9469455841672,5268428165334,3960185708366,7659760492353,4588908555333,20122005971561,705136501944,1164686534871,283265907441,832997553471,10002592896363
ACV,2024,14012974656443,7569739206781,5653518250199,3635984074438,8359456406243,3790338716684,13230589158638,376601579817,744550750138,273798775366,460791234871,28067627900496
ACV,2025,15259312894527,7370144195974,5979503574319,4739068430088,9279809320207,2695644414498,11386467331696,313424949247,798115090464,406333903905,363023146451,30502645741363
ACW,2018,4721064013984,1724232051848,1202495203976,675250046981,3518568810007,1672646837040,4383717364150,353435424414,494487817012,52693536494,494609255201,10678422401150
ACW,2019,5132953138033,2254495882065,1131245886383,884455285340,4001707251649,1181378957878,3146775920353,201736263933,311894483905,59724153989,276480801698,7753225477025
ACW,2020,5958266054579,2193798541957,1462677279734,1244742863018,4495588774844,1397600364562,8620631197031,664335006801,931353443239,100934684737,641146753606,11439637245171
ACW,2021,6492940613462,3358877759744,1551227786468,1250636877604,4941712826994,2840119324320,5149076979513,395539734362,546955177044,52530509091,451296076883,13712918512967
ACW,2022,7114708484814,2944791467889,1487401487280,1016056692232,5627306997533,2864532715739,7893084690680,640523354128,844517479103,43863286442,545306984975,7435935439548
ACW,2023,7683873651571,4761096672730,1948295199409,1773452314335,5735578452162,1882088718004,6901634901323,593901268555,864317645792,121941060097,874955841732,18237413048359
ACW,2024,8351720709824,5746298503960,2036530337069,1741899801285,6315190372754,1607887990521,10948482012546,680426741193,1005766676352,155233249860,713256064526,15172790063755
ACW,2025,9143736941047,3994623846780,2015204026702,1189534248097,7128532914345,4101421502408,9155652648913,907971642506,1260392788758,125428235625,788736112139,27339625093820
ACX,2018,5737193623744,2803150018485,1359432497895,832663612716,4377761125849,2128043521500,3287752654248,474609567525,694544794257,101282834850,602294660093,10154833979559
ACX,2019,6389882280218,4325988489788,1782393077907,1069117428395,4607489202310,1405111733871,10037278999547,1302495532805,1710813209441,82693793434,1618680429933,15977964896647
ACX,2020,6754258610849,4764757858221,1863320501564,1292236687298,4890938109285,2015457301329,6352696391896,955220140386,1299755468584,105730293101,908518031984,9492505713762
ACX,2021,7703022333003,2698904842504,1863374357686,1534230449148,5839647975316,3213266205245,5778454105298,808229297419,1152229358498,141942736723,718536698532,8560518622336
ACX,2022,8481493799918,3045525249842,2578984245969,1986645824836,5902509553948,1556008561927,9223059738322,1455237082573,1926893644210,107847290993,2071633571729,21638308764380
ACX,2023,7947256496070,4128951976762,4711599588516,3990452040064,3235656907554,1759675140741,11199784290316,-515410451437,-341638837971,302624226325,-524221456619,8705472918049
ACX,2024,8975020179459,5468056717977,2428136317116,2028984450437,6546883862342,3822692519049,12024795952576,1780408467440,2363425693867,137915109566,2547949202035,24700066933191
ACX,2025,9731686313272,3626531721681,2317134625673,1719509735492,7414551687598,3352954072132,13476895429828,2185496055340,2849996629136,118126559961,1958725868857,24542538027862
ACY,2018,1713258016569,987918315720,1213651251775,1049223827758,499606764793,281833512453,1671133198439,-46186207488,40615705185,98348464546,-44823340496,838355341149
ACY,2019,1867936137080,685307158792,337174294963,309811987901,1530761842116,353885437957,2661126797880,151634063024,207885656796,18343078016,130844586330,3980396980079
ACY,2020,2043533923004,809941062040,382408791226,350925393950,1661125131778,969812443609,2183504273095,114922597921,162894097583,19240850181,106936759966,5082340888790
ACY,2021,2151667757145,1494185540704,513231700570,342232937753,1638436056575,932214446459,1110489171649,58902558567,111430050712,37801852503,72288265408,5190777693262
ACY,2022,2306695526789,935605641502,540044215231,298932381217,1766651311557,1003162657554,1890936590760,160970554656,232534497280,31321303958,187614288497,2596379546488
ACY,2023,2486211163917,1423457559537,490863618052,436821655067,1995347545864,491066206109,3937123044946,246162427178,325116898951,17413864977,253244153073,3398054255229
ACY,2024,2668213566926,1006278601770,639419812749,557063524195,2028793754177,428054321636,3281523297307,185838694448,264055815010,31757446949,180708666141,5676906512162
ACY,2025,2703066333171,1280940162950,525231991215,445611780035,2177834341955,1014906643364,3065969139731,203938041327,287653781726,32731230066,216232395139,5458206847878
ADE,2018,9890693778678,3862003343972,5390413068548,4583311904440,4500280710129,1309423693863,13782610938340,1284864388394,1856856247339,250775761847,1465733942833,17195937133650
ADE,2019,9977068463321,5993332520699,7160801030984,4660017875579,2816267432337,1066626965435,12979898785414,-57016990401,159013924313,230285162315,-74698299696,8632909670411
ADE,2020,11921345073427,6663347982957,7072003587023,4422844590017,4849341486404,2421332724146,17922629149156,1744925621271,2416923019357,235765992768,2578122019061,9894792749503
ADE,2021,13910466361857,5971407690401,8014715008997,5870474003623,5895751352859,1280448733036,8611249737654,530413208943,1056366344846,393349833666,715727425458,15837993390434
ADE,2022,15586834883577,8031977832927,9109144749868,8317718538724,6477690133709,1779576274223,12603616559795,915841098853,1741685873131,596884499564,1180845730374,23705641471497
ADE,2023,18865810980260,7328709990816,11308435556793,7091454213668,7557375423467,3519782598769,24085042067814,2178277056059,3093383017196,370536697122,2645176331215,17556500351882
ADE,2024,18916280117702,8402018179145,11843844852597,6754015192106,7072435265104,3678534803738,23999588262248,-110334313175,410583668303,548501559773,-122821853510,21641215959266
ADE,2025,21815211419803,12629076066032,12549579940751,9604263541892,9265631479052,2610424706137,21373017995312,1400018005831,2438258736963,688236229673,1801177732857,20575427349037
ADF,2018,9644794536298,6119520077439,5053200950682,3555331612789,4591593585615,1954426992932,11488701654196,392945614537,864044817118,372862798946,539572278339,7979442176537
ADF,2019,9963359807485,5422292358869,6832159928440,5015323442244,3131199879045,701978920636,10313585781100,248898997261,681389851056,370266104479,352422958731,6156179981744
ADF,2020,10341510464370,4303913066747,5426481788374,3860332444447,4915028675996,2816245308158,5676727334835,372536498408,701363696208,235693073198,415369653915,12355890025099
ADF,2021,11079310220137,7558227574744,6102324548292,5724577471801,4976985671844,1233351538459,7508444325896,301125304347,704275010629,327868380196,417189791100,10880528952853
ADF,2022,12521397389215,5141732020546,6071069813168,5701314400789,6450327576047,2729320757325,15591717532391,505015417705,1070135173534,438865901402,454350011788,19794419363162
ADF,2023,13781437147796,10229377917016,6941652962583,6149591835787,6839784185213,1751277804035,14339347741663,996244115341,1509785872190,264480728014,842850424319,17659703346391
ADF,2024,15115845791141,7493816689462,7825316021933,5324064695507,7290529769207,4373778778424,8165179399360,388949933229,754871315691,268683899153,427884911871,21584930614997
ADF,2025,15619869635922,7261168018352,8098036170893,5495412426657,7521833465029,2282383989177,21218647723580,1476853737258,2052019720154,205952548581,1753082262301,13734751686462
ADH,2018,10796355972390,6469158239368,4444098929855,2466709353047,6352257042535,2561928894243,8005730403284,313106385571,639413445563,248030463598,256170235659,15021858663494
ADH,2019,11925450878181,4339125826926,5010843384689,3941936389227,6914607493492,3318678833432,16711876295545,768573689111,1125717046292,164999934902,625298171368,20739406933428
ADH,2020,12507999495098,6619970771178,5803281592151,5321097309312,6704717902947,1688582630274,16981589408264,1081165172973,1615597644725,264141178508,1497304467221,24213355446170
ADH,2021,13267348950457,7488534990630,5951332303780,4811413375767,7316016646676,2705858987772,11947745419897,576618428104,1083877399623,363104364493,799835901679,25378943692599
ADH,2022,15104837592262,7988242659045,7073618881052,5149953533194,8031218711209,2061065456334,17821902557030,737740329001,1357716764470,435541353218,1013210291718,29461938719746
ADH,2023,16144384650744,9417588939902,6924925331075,5799750929252,9219459319669,4963400289186,10796105968459,668411368309,1167451369428,331937159042,836500200865,27864096072058
ADH,2024,15590659866100,7238268618192,8610273458756,7159581881597,6980386407344,3422834637322,11163596776475,195741431326,550501839531,305825050373,229548745463,9174242411622
ADH,2025,17198830463233,8143469966171,8038053555625,6678899757020,9160776907608,4297256724748,22691123614525,808748206343,1399300416178,388365158248,990284794250,13201146232548
ADI,2018,1639266020972,759768810851,431059688489,320118604733,1208206332482,429215340245,1062387982090,60519879264,100191286767,24541437686,49432876507,2309667858359
ADI,2019,1614024165235,794351198642,1092235825242,672384892160,521788339993,169944291961,2074398936220,76960462953,137927170828,41726592136,71557481292,1517937482447
ADI,2020,1769726791643,1186511804017,447807607246,355690447718,1321919184396,326046758703,1857571883190,89087643979,134119666634,22760111659,81411890334,3900584769412
ADI,2021,2002553121781,1120270831466,548477678641,335789960234,1454075443139,456466277951,1345101176764,89631009348,129611820128,17573058442,108283595201,1965568710876
ADI,2022,2117652876721,913685494916,427412416577,355507501305,1690240460143,718171134134,2983647867539,173515233069,246897628230,30003586893,200377500216,6366415104178
ADI,2023,2390297715540,1267722047700,627599686808,402748314352,1762698028732,941204939309,3432297986090,170563620211,236654720837,23450195573,235974893080,6588662696968
ADI,2024,2528550586121,1731659849203,629207706944,377627239233,1899342879176,589170286182,1722587133949,143474750128,204746930014,25403492353,141909980302,6530604053037
ADI,2025,2755269513611,1005353463746,669225419326,631515494276,2086044094285,1065493410368,3226475866957,191006111949,296149948024,57392308088,174420540222,7827706969845
ADK,2018,7447105128497,4246119331371,2592130376497,1668617565632,4854974751999,1819858844212,5840758942436,824226739530,1215632149151,185348724739,703060341495,8164758737549
ADK,2019,8145720502168,4718011963022,2513089589075,1554294573444,5632630913092,2969151037424,10954943689347,1577237543949,2106043052985,134496123049,1841442875927,22321052408310
ADK,2020,9011714618572,5305594245678,3015466747207,2047268698196,5996247871364,2563147335541,5447465826296,858952597861,1220271056226,146580308899,1168721277599,8159640954551
